Id,Date,Time,League,Home,Away,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No
Yqo4RFdU,21/09/2024,13:00,ITALY - SERIE A,Juventus,Napoli,2.2,3.4,3.3,2.2,1.67,1.95,1.8
O8QDoJsn,21/09/2024,15:45,ITALY - SERIE A,Lecce,Parma,2.2,3.5,3.25,1.92,1.98,1.7,2.05
QHlcvpRr,21/09/2024,11:30,NETHERLANDS - EREDIVISIE,Utrecht,Willem II,1.57,4.0,5.75,1.8,2.0,1.8,1.95
Mqr6xOee,21/09/2024,13:45,NETHERLANDS - EREDIVISIE,Waalwijk,Sparta Rotterdam,3.4,3.7,2.05,1.73,2.08,1.62,2.2
StoEz2Q7,21/09/2024,15:00,NETHERLANDS - EREDIVISIE,G.A. Eagles,Ajax,4.2,4.0,1.75,1.67,2.15,1.62,2.2
8xO0b5IE,21/09/2024,16:00,NETHERLANDS - EREDIVISIE,Nijmegen,Heracles,1.57,4.33,5.5,1.62,2.25,1.7,2.05
dYbQEmn4,21/09/2024,09:00,SPAIN - LALIGA,Valladolid,Real Sociedad,3.9,3.0,2.2,2.63,1.5,2.05,1.7
4b2YCRGG,21/09/2024,11:15,SPAIN - LALIGA,Osasuna,Las Palmas,1.9,3.4,4.2,2.2,1.67,1.95,1.8
xWrPG9Hi,21/09/2024,13:30,SPAIN - LALIGA,Valencia,Girona,2.88,3.3,2.5,2.07,1.83,1.8,1.95
ImLNuMV7,21/09/2024,16:00,SPAIN - LALIGA,Real Madrid,Espanyol,1.17,7.0,19.0,1.4,3.0,2.05,1.7
AkbXinVa,21/09/2024,13:00,AFRICA - CAF CHAMPIONS LEAGUE,Al Ahly (Egy),Gor Mahia (Ken),1.14,8.0,11.0,1.57,2.35,2.63,1.44
SrWp0PuA,21/09/2024,13:00,AFRICA - CAF CHAMPIONS LEAGUE,Mamelodi Sundowns (Rsa),Mbabane Swallows (Esw),1.07,9.5,26.0,1.44,2.7,3.0,1.36
INRixKVi,21/09/2024,13:00,AFRICA - CAF CHAMPIONS LEAGUE,Orlando Pirates (Rsa),Jwaneng Galaxy (Bot),1.2,6.0,11.0,1.75,2.05,2.63,1.44
vBL6EiK5,21/09/2024,15:00,AFRICA - CAF CHAMPIONS LEAGUE,Esperance Tunis (Tun),Dekedda (Som),1.04,15.0,29.0,1.33,3.4,4.0,1.22
E7vhX18U,21/09/2024,15:00,AFRICA - CAF CHAMPIONS LEAGUE,Pyramids (Egy),APR (Rwa),1.14,7.0,13.0,1.65,2.2,2.75,1.4
OYH48WQ0,21/09/2024,16:00,AFRICA - CAF CHAMPIONS LEAGUE,Raja Casablanca (Mar),Samartex (Gha),1.38,4.5,7.5,1.6,2.3,1.8,1.91
SbnctaPH,21/09/2024,13:00,AFRICA - CAF CONFEDERATION CUP,Sekhukhune (Rsa),CD Lunda Sul (Ang),1.55,3.5,5.5,2.6,1.48,2.63,1.44
42lqvuOE,21/09/2024,14:00,AFRICA - CAF CONFEDERATION CUP,Constantine (Alg),Nsoatreman (Gha),1.44,3.6,7.0,2.35,1.57,2.63,1.44
Sl7DT4Dd,21/09/2024,14:30,AFRICA - CAF CONFEDERATION CUP,CS Sfaxien (Tun),Rukinzo (Bur),1.25,4.75,10.0,2.08,1.73,3.0,1.36
nucK1Mbl,21/09/2024,15:00,ALBANIA - ABISSNET SUPERIORE,Partizani,KF Tirana,1.95,3.25,3.45,1.98,1.65,1.81,1.95
t2O0uRHO,21/09/2024,12:00,ALGERIA - LIGUE 1,Paradou,ASO Chlef,2.17,3.04,3.47,2.42,1.42,2.12,1.69
IoENsFSa,21/09/2024,16:00,ARGENTINA - LIGA PROFESIONAL,Boca Juniors,River Plate,2.5,2.8,3.3,2.4,1.53,1.95,1.8
AZklbzDt,21/09/2024,19:00,ARGENTINA - LIGA PROFESIONAL,Instituto,Barracas Central,1.53,3.75,8.0,2.25,1.62,2.25,1.57
WUBBpHrs,21/09/2024,19:00,ARGENTINA - LIGA PROFESIONAL,Newells Old Boys,Tigre,1.9,3.0,5.25,2.7,1.44,2.25,1.57
W8KwvXRO,21/09/2024,21:15,ARGENTINA - LIGA PROFESIONAL,Defensa y Justicia,San Lorenzo,2.7,2.88,3.0,2.88,1.4,2.25,1.57
xKODMAvn,21/09/2024,14:00,ARGENTINA - PRIMERA NACIONAL,Almagro,Colon Santa Fe,3.8,3.0,2.1,3.1,1.36,2.5,1.5
lIdi599B,21/09/2024,15:00,ARGENTINA - PRIMERA NACIONAL,Club A. Guemes,San Miguel,2.38,2.88,3.4,3.4,1.33,2.5,1.5
pQaz9iAn,21/09/2024,16:00,ARGENTINA - PRIMERA NACIONAL,Tristan Suarez,Chacarita Juniors,2.0,3.0,4.33,2.6,1.48,2.2,1.62
2qVQwcWN,21/09/2024,06:00,AUSTRALIA - NPL ACT,Canberra Croatia,Tigers FC,1.57,4.0,5.0,1.62,2.05,1.7,1.93
0htln2IG,21/09/2024,07:45,AUSTRALIA - NPL WESTERN AUSTRALIA,Olympic Kingsway,Stirling Macedonia,1.87,3.95,3.35,1.39,2.55,1.4,2.55
ERxUVmXg,21/09/2024,06:30,AUSTRALIA - AUSTRALIA CUP,Melbourne Victory,Adelaide United,1.57,4.33,4.5,1.53,2.38,1.62,2.2
QoGDiXj4,21/09/2024,12:00,AUSTRIA - BUNDESLIGA,A. Klagenfurt,Hartberg,2.5,3.6,2.55,1.67,2.15,1.57,2.25
SACUmkjT,21/09/2024,12:00,AUSTRIA - BUNDESLIGA,Altach,BW Linz,2.15,3.25,3.5,2.03,1.83,1.8,1.95
xQZIVkUp,21/09/2024,12:00,AUSTRIA - BUNDESLIGA,LASK,Grazer AK,1.62,4.0,5.25,1.67,2.15,1.7,2.05
hC6DDnrR,21/09/2024,09:30,AUSTRIA - 2. LIGA,A. Lustenau,Sturm Graz (Am),1.42,4.85,5.9,1.4,2.75,1.57,2.25
48Vy6Lyh,21/09/2024,11:00,AZERBAIJAN - PREMIER LEAGUE,Turan,Araz,1.7,3.55,4.55,2.02,1.62,1.98,1.65
MqMzfHqA,21/09/2024,13:00,BAHRAIN - PREMIER LEAGUE,Al Riffa,Al-Najma,1.4,4.6,6.6,1.62,2.2,1.85,1.85
YyLEnZyp,21/09/2024,13:00,BAHRAIN - PREMIER LEAGUE,East Riffa,Malkia,2.37,3.0,3.1,2.05,1.72,1.72,2.0
YNutYZMj,21/09/2024,13:00,BAHRAIN - PREMIER LEAGUE,Sitra,Ali CSC,2.18,3.2,3.25,1.88,1.85,1.65,2.1
MizppfYi,21/09/2024,11:00,BELGIUM - JUPILER PRO LEAGUE,Beerschot VA,St. Truiden,2.4,3.3,2.7,1.9,1.95,1.7,2.05
dUU8vj2T,21/09/2024,13:15,BELGIUM - JUPILER PRO LEAGUE,Westerlo,Antwerp,2.88,3.6,2.1,1.62,2.25,1.53,2.38
lp3JTYmB,21/09/2024,15:45,BELGIUM - JUPILER PRO LEAGUE,Anderlecht,Charleroi,1.95,3.4,3.5,1.83,2.03,1.75,2.0
vHOcI3ee,21/09/2024,11:00,BELGIUM - CHALLENGER PRO LEAGUE,K. Lierse S.K.,Eupen,3.5,3.5,1.85,1.67,2.15,1.62,2.2
KpNaxPnR,21/09/2024,15:00,BELGIUM - CHALLENGER PRO LEAGUE,Genk U23,RWDM,2.9,3.4,2.1,1.62,2.25,1.53,2.38
Cr2vVtu1,21/09/2024,15:00,BELGIUM - CHALLENGER PRO LEAGUE,Patro Eisden,Francs Borains,1.8,3.6,4.33,1.9,1.95,1.8,1.91
21Ck1Hl4,21/09/2024,16:00,BOLIVIA - DIVISION PROFESIONAL,Santa Cruz,SA Bulo Bulo,2.7,3.4,2.3,1.73,2.08,1.62,2.2
UTVbcZmT,21/09/2024,18:00,BOLIVIA - DIVISION PROFESIONAL,Oriente Petrolero,Tomayapo,1.65,3.7,4.33,1.9,1.9,1.83,1.83
M3SjaeJG,21/09/2024,20:00,BOLIVIA - DIVISION PROFESIONAL,Aurora,Always Ready,1.83,3.4,3.75,2.1,1.7,2.0,1.73
z3ndclqM,21/09/2024,16:00,BRAZIL - SERIE A,Corinthians,Atletico GO,1.53,3.9,7.0,2.1,1.7,2.2,1.62
zTHi0ja3,21/09/2024,16:00,BRAZIL - SERIE A,Vitoria,Juventude,2.0,3.3,4.0,2.25,1.62,2.0,1.75
2kllaAE9,21/09/2024,18:30,BRAZIL - SERIE A,Fluminense,Botafogo RJ,3.0,3.25,2.45,2.3,1.6,2.0,1.75
fmTSiS6q,21/09/2024,21:00,BRAZIL - SERIE A,Fortaleza,Bahia,2.25,3.5,3.1,2.1,1.7,1.95,1.8
xnsC8ofM,21/09/2024,17:00,BRAZIL - SERIE B,Goias,Mirassol,1.95,3.0,4.5,2.6,1.48,2.25,1.57
jgNn2qXk,21/09/2024,18:00,BRAZIL - SERIE B,Ituano,Coritiba,3.0,2.9,2.55,2.35,1.57,1.91,1.8
rZjMXCc5,21/09/2024,11:30,BULGARIA - PARVA LIGA,CSKA Sofia,Beroe,1.25,6.25,10.0,1.85,2.0,2.63,1.44
Ch72HiDO,21/09/2024,14:00,BULGARIA - PARVA LIGA,Ludogorets,Lok. Sofia,1.14,9.0,17.0,1.4,2.88,2.38,1.53
ld59i2hQ,21/09/2024,16:00,CANADA - CANADIAN PREMIER LEAGUE,Valour,HFX Wanderers,3.0,3.3,2.32,1.95,1.82,1.75,1.98
j5iymM0s,21/09/2024,19:00,CANADA - CANADIAN PREMIER LEAGUE,Vancouver FC,Forge,3.55,3.65,1.95,1.62,2.25,1.55,2.3
63p2QthF,21/09/2024,07:00,CHINA - SUPER LEAGUE,Changchun Yatai,Shanghai Port,7.5,6.5,1.29,1.25,4.0,1.53,2.38
vHrAOKMR,21/09/2024,08:35,CHINA - SUPER LEAGUE,Henan Songshan Longmen,Chengdu Rongcheng,4.33,3.9,1.73,1.75,2.05,1.75,2.0
pfq6P07L,21/09/2024,08:35,CHINA - SUPER LEAGUE,Shandong Taishan,Wuhan Three Towns,2.1,3.6,3.25,1.7,2.1,1.62,2.2
GxzxKvVr,21/09/2024,09:00,CHINA - SUPER LEAGUE,Shanghai Shenhua,Tianjin Jinmen Tiger,1.33,5.75,7.0,1.44,2.7,1.75,2.0
Wj3vy2ue,21/09/2024,17:15,COLOMBIA - PRIMERA A,Envigado,Once Caldas,3.8,3.3,2.0,2.6,1.48,2.25,1.57
U3vcOOek,21/09/2024,19:45,COLOMBIA - PRIMERA A,Dep. Cali,La Equidad,2.15,2.9,3.8,2.6,1.48,2.2,1.62
rRUjp6I8,21/09/2024,22:00,COLOMBIA - PRIMERA A,Fortaleza,Santa Fe,2.9,2.88,2.63,2.7,1.44,2.2,1.62
EHivfwU8,21/09/2024,21:00,COSTA RICA - PRIMERA DIVISION,Liberia,Saprissa,3.0,3.5,2.05,1.62,2.25,1.53,2.38
0xAiWZy2,21/09/2024,23:00,COSTA RICA - PRIMERA DIVISION,Herediano,Santa Ana,1.36,4.75,6.5,1.6,2.3,1.83,1.83
viB8ul7k,21/09/2024,12:30,CROATIA - HNL,Slaven Belupo,D. Zagreb,8.5,5.25,1.27,1.62,2.25,2.1,1.67
K6UyoAqS,21/09/2024,15:00,CROATIA - HNL,Hajduk Split,Gorica,1.3,5.0,8.0,1.67,2.15,2.0,1.73
G0Csh9i4,21/09/2024,13:00,CYPRUS - CYTA CHAMPIONSHIP,Anorthosis,Omonia,4.35,3.7,1.75,1.87,1.91,1.78,1.93
pt4blRjT,21/09/2024,13:00,CYPRUS - CYTA CHAMPIONSHIP,Aris,Apollon,1.98,3.55,3.55,1.78,2.0,1.65,2.1
lQjsiwCE,21/09/2024,13:00,CYPRUS - DIVISION 2,Achyronas-Onisilos,Anagennisi Derynia,1.65,3.4,4.85,1.85,1.8,2.0,1.77
tb8FYUem,21/09/2024,13:00,CYPRUS - DIVISION 2,Ayia Napa,Ypsonas,3.66,3.1,2.02,2.16,1.62,1.97,1.79
Aw0WUneC,21/09/2024,13:00,CYPRUS - DIVISION 2,Chloraka,ASIL Lysi,1.6,3.55,4.85,1.85,1.8,2.05,1.73
MHTlmUAt,21/09/2024,13:00,CYPRUS - DIVISION 2,Doxa,Ol. Nicosia,2.2,3.2,2.9,2.05,1.6,1.97,1.79
EB6NW8Qa,21/09/2024,13:00,CYPRUS - DIVISION 2,Othellos Athienou,Peyia 2014 FC,1.8,3.3,4.0,1.78,1.87,1.68,2.13
MJbeTZJ7,21/09/2024,13:00,CYPRUS - DIVISION 2,PAEEK,Kitiou,1.8,3.4,3.85,1.82,1.82,1.68,2.13
4rbZZIWN,21/09/2024,08:30,CZECH REPUBLIC - CHANCE LIGA,Hradec Kralove,Slovacko,2.35,3.1,3.0,2.3,1.6,1.95,1.8
I3Tlx9Di,21/09/2024,11:00,CZECH REPUBLIC - CHANCE LIGA,Karvina,Jablonec,2.6,3.0,2.63,1.88,1.98,1.67,2.1
z36Iw1Xb,21/09/2024,11:00,CZECH REPUBLIC - CHANCE LIGA,Teplice,Ostrava,3.2,3.4,2.05,1.8,2.0,1.67,2.1
vyD9uN2n,21/09/2024,14:00,CZECH REPUBLIC - CHANCE LIGA,Slavia Prague,Plzen,1.48,4.1,5.75,1.85,2.0,1.95,1.8
lUzpPH2F,21/09/2024,05:15,CZECH REPUBLIC - CHNL,Chrudim,Taborsko,2.2,3.25,2.8,1.85,1.95,1.67,2.1
2DxxRwY2,21/09/2024,05:30,CZECH REPUBLIC - CHNL,Sparta Prague B,Vyskov,2.15,3.2,3.0,1.75,2.05,1.62,2.2
ILbXSHmp,21/09/2024,12:00,CZECH REPUBLIC - CHNL,Brno,Lisen,1.62,3.7,4.5,2.05,1.75,2.0,1.73
2ctY32Pi,21/09/2024,08:00,DENMARK - 1ST DIVISION,B.93,Horsens,3.8,3.8,1.83,1.62,2.25,1.57,2.25
0SnUYthR,21/09/2024,08:00,DENMARK - ELITEDIVISIONEN WOMEN,Aarhus W,Brondby W,4.1,3.8,1.65,1.53,2.2,1.57,2.25
YFBZCaV7,21/09/2024,10:00,DENMARK - ELITEDIVISIONEN WOMEN,Odense Q W,B93 W,1.14,5.9,15.0,1.53,2.18,2.6,1.44
AyFqKsZa,21/09/2024,16:00,ECUADOR - LIGA PRO,Cumbaya,Aucas,4.2,3.5,1.85,2.15,1.67,2.0,1.73
4z8hIL3C,21/09/2024,18:30,ECUADOR - LIGA PRO,LDU Quito,EL Nacional,1.48,4.33,6.0,1.88,1.93,2.0,1.73
WpGuLNJg,21/09/2024,21:00,ECUADOR - LIGA PRO,Dep. Cuenca,Barcelona SC,2.7,3.3,2.45,2.03,1.78,1.8,1.91
GvmpR24b,21/09/2024,18:30,EL SALVADOR - PRIMERA DIVISION,Aguila,11 Deportivo,1.53,3.65,6.2,2.05,1.6,2.12,1.57
O4jhPtZA,21/09/2024,22:00,EL SALVADOR - PRIMERA DIVISION,Metapan,Dragon,1.5,3.85,6.0,2.0,1.65,2.15,1.55
KCgyTOZo,21/09/2024,22:30,EL SALVADOR - PRIMERA DIVISION,FAS,Luis Angel Firpo,2.55,3.15,2.62,1.62,2.05,1.47,2.32
b7OeQjS9,21/09/2024,08:30,ENGLAND - CHAMPIONSHIP,Norwich,Watford,2.15,3.5,3.2,1.93,1.93,1.73,2.0
QH8zJ8Kq,21/09/2024,08:30,ENGLAND - CHAMPIONSHIP,QPR,Millwall,2.3,3.4,3.1,2.2,1.67,1.83,1.83
pvFVxUBF,21/09/2024,08:30,ENGLAND - CHAMPIONSHIP,Sunderland,Middlesbrough,2.4,3.4,2.8,1.9,1.95,1.67,2.1
W2BTMHLH,21/09/2024,11:00,ENGLAND - CHAMPIONSHIP,Bristol City,Oxford Utd,1.75,3.6,4.75,1.98,1.88,1.83,1.83
Q3T1495j,21/09/2024,11:00,ENGLAND - CHAMPIONSHIP,Burnley,Portsmouth,1.48,4.2,7.0,1.73,2.1,1.83,1.83
Cfx7zV1d,21/09/2024,11:00,ENGLAND - CHAMPIONSHIP,Cardiff,Leeds,5.25,4.0,1.62,1.93,1.93,1.83,1.83
S2KgbYg3,21/09/2024,11:00,ENGLAND - CHAMPIONSHIP,Coventry,Swansea,1.7,3.6,5.0,1.73,2.1,1.67,2.1
xhzmSCcc,21/09/2024,11:00,ENGLAND - CHAMPIONSHIP,Luton,Sheffield Wed,1.9,3.5,4.0,1.85,2.0,1.73,2.0
bV6rHnkd,21/09/2024,11:00,ENGLAND - CHAMPIONSHIP,Sheffield Utd,Derby,1.57,4.1,5.5,1.8,2.0,1.8,1.91
6g3vy8tS,21/09/2024,11:00,ENGLAND - CHAMPIONSHIP,West Brom,Plymouth,1.38,4.5,8.0,1.57,2.38,1.8,1.91
8UwudazA,21/09/2024,08:30,ENGLAND - LEAGUE ONE,Exeter,Stevenage,2.5,3.25,2.75,2.15,1.67,1.91,1.91
0SIJlHSq,21/09/2024,08:30,ENGLAND - LEAGUE ONE,Lincoln,Wigan,1.91,3.4,4.0,2.15,1.67,1.95,1.8
URGDhQTH,21/09/2024,11:00,ENGLAND - LEAGUE ONE,Bolton,Reading,1.75,3.5,4.75,1.75,2.05,1.7,2.05
0EwozIDj,21/09/2024,11:00,ENGLAND - LEAGUE ONE,Burton,Barnsley,3.9,3.5,1.91,1.67,2.15,1.62,2.2
GMLXcL5c,21/09/2024,11:00,ENGLAND - LEAGUE ONE,Charlton,Blackpool,2.3,3.3,3.0,1.98,1.88,1.75,2.0
UqSmfw5M,21/09/2024,11:00,ENGLAND - LEAGUE ONE,Huddersfield,Northampton,1.38,4.5,8.0,1.75,2.05,2.05,1.7
dfCSnecd,21/09/2024,11:00,ENGLAND - LEAGUE ONE,Mansfield,Shrewsbury,1.7,3.6,5.0,1.7,2.1,1.67,2.1
llaEAbk3,21/09/2024,11:00,ENGLAND - LEAGUE ONE,Peterborough,Bristol Rovers,1.62,3.7,5.5,1.57,2.35,1.62,2.2
8jFF8xKF,21/09/2024,11:00,ENGLAND - LEAGUE ONE,Rotherham,Birmingham,3.5,3.7,1.95,1.85,2.0,1.75,2.0
GGIN6GlS,21/09/2024,11:00,ENGLAND - LEAGUE ONE,Stockport County,Leyton Orient,1.57,3.8,6.0,1.88,1.98,1.91,1.91
OUVyYjbl,21/09/2024,11:00,ENGLAND - LEAGUE ONE,Wrexham,Crawley,1.45,4.33,6.5,1.67,2.15,1.8,1.95
0lff1fCk,21/09/2024,11:00,ENGLAND - LEAGUE ONE,Wycombe,Cambridge Utd,1.7,3.6,5.0,1.93,1.93,1.91,1.91
806lzPvH,21/09/2024,08:30,ENGLAND - LEAGUE TWO,Accrington,Port Vale,3.4,3.5,2.05,1.9,1.95,1.73,2.0
zFMUFfg2,21/09/2024,08:30,ENGLAND - LEAGUE TWO,Chesterfield,Cheltenham,1.5,4.1,6.5,1.65,2.2,1.8,1.91
vT8yh9NG,21/09/2024,11:00,ENGLAND - LEAGUE TWO,Barrow,Newport,1.48,4.1,7.0,1.73,2.08,1.83,1.83
vmTLHGOk,21/09/2024,11:00,ENGLAND - LEAGUE TWO,Bradford City,AFC Wimbledon,2.38,3.3,2.9,2.05,1.8,1.8,1.91
0hEGwbo9,21/09/2024,11:00,ENGLAND - LEAGUE TWO,Colchester,Tranmere,2.1,3.3,3.5,2.05,1.8,1.8,1.91
M72PyxGL,21/09/2024,11:00,ENGLAND - LEAGUE TWO,Crewe,Harrogate,1.8,3.4,4.5,2.05,1.8,1.83,1.83
lIn4Ug8e,21/09/2024,11:00,ENGLAND - LEAGUE TWO,Grimsby,Bromley,2.1,3.3,3.4,1.8,2.0,1.62,2.2
MVpCSXx8,21/09/2024,11:00,ENGLAND - LEAGUE TWO,MK Dons,Doncaster,2.35,3.4,2.88,1.75,2.05,1.57,2.25
2sxkzpdE,21/09/2024,11:00,ENGLAND - LEAGUE TWO,Notts Co,Gillingham,1.91,3.75,3.6,1.7,2.1,1.62,2.2
A7ucYNQQ,21/09/2024,11:00,ENGLAND - LEAGUE TWO,Salford,Walsall,2.75,3.3,2.5,1.98,1.88,1.67,2.1
fuHTS1ll,21/09/2024,11:00,ENGLAND - LEAGUE TWO,Swindon,Carlisle,1.95,3.5,3.6,1.83,2.03,1.67,2.1
v9GphUy3,21/09/2024,08:00,ENGLAND - WOMEN’S SUPER LEAGUE,Manchester Utd W,West Ham W,1.27,4.85,8.5,1.57,2.1,2.05,1.75
nH8IleVA,21/09/2024,08:30,ENGLAND - WOMEN’S SUPER LEAGUE,Brighton W,Everton W,1.85,3.45,3.6,1.62,2.02,1.6,2.3
SKwdx3vK,21/09/2024,06:30,ESTONIA - MEISTRILIIGA,Paide,Kuressaare,1.3,4.9,7.1,1.53,2.18,1.81,1.95
GpzhwqPD,21/09/2024,08:30,ESTONIA - MEISTRILIIGA,Nomme Utd,Narva,4.0,3.65,1.7,1.65,1.98,1.67,2.15
2snAEanD,21/09/2024,11:00,ESTONIA - MEISTRILIIGA,Flora,Tammeka,1.55,3.9,4.85,1.6,2.07,1.68,2.13
4zrCaDOr,21/09/2024,10:00,ETHIOPIA - PREMIER LEAGUE,Wolkite Ketema,Mechal,3.55,2.95,2.05,2.25,1.5,2.01,1.76
Yiit5Z0L,21/09/2024,13:00,ETHIOPIA - PREMIER LEAGUE,Welwalo Adigrat,Bahir Dar Kenema,3.2,2.8,2.27,2.32,1.47,2.04,1.74
63dBxoTp,21/09/2024,13:00,FAROE ISLANDS - PREMIER LEAGUE,Toftir,Klaksvik,8.0,5.0,1.28,1.4,2.48,1.82,1.94
fRTsfDbI,21/09/2024,13:00,FAROE ISLANDS - PREMIER LEAGUE,Vikingur,Streymur,1.04,11.5,30.0,1.23,3.28,2.42,1.53
88zf1U5o,21/09/2024,14:30,FAROE ISLANDS - PREMIER LEAGUE,07 Vestur Sorvagur,B36 Torshavn,3.05,4.0,1.88,1.33,2.73,1.38,2.94
Yq1tFfI8,21/09/2024,12:00,FINLAND - SUOMEN CUP,Inter Turku,KuPS,3.4,3.15,2.18,1.98,1.8,1.72,2.02
WQczyE7L,21/09/2024,09:30,FRANCE - LIGUE 2,Metz,Lorient,2.45,3.25,2.63,1.98,1.88,1.8,1.91
GGbeDYNj,21/09/2024,12:00,FRANCE - DIVISION 1 WOMEN,Reims W,St Etienne W,2.37,3.55,2.47,1.5,2.45,1.4,2.75
G6esyxGc,21/09/2024,12:00,FRANCE - DIVISION 1 WOMEN,Strasbourg W,Dijon W,3.05,3.4,2.05,1.53,2.2,1.5,2.43
OIJGKGVG,21/09/2024,16:00,FRANCE - DIVISION 1 WOMEN,Montpellier W,PSG W,5.6,4.75,1.39,1.3,3.2,1.45,2.55
4nIo8nD6,21/09/2024,08:00,GERMANY - 2. BUNDESLIGA,Braunschweig,Greuther Furth,2.88,3.6,2.3,1.6,2.3,1.53,2.38
pEJP2iyR,21/09/2024,08:00,GERMANY - 2. BUNDESLIGA,Dusseldorf,FC Koln,3.1,3.6,2.15,1.62,2.25,1.53,2.38
QXvaHjjK,21/09/2024,08:00,GERMANY - 2. BUNDESLIGA,Nurnberg,Hertha Berlin,3.2,3.7,2.1,1.53,2.4,1.5,2.5
z7QUBUDs,21/09/2024,15:30,GERMANY - 2. BUNDESLIGA,Kaiserslautern,Hamburger SV,3.1,3.75,2.15,1.5,2.5,1.44,2.63
YaZgJv8j,21/09/2024,09:00,GERMANY - 3. LIGA,Cottbus,Stuttgart II,1.95,3.5,3.4,1.65,2.2,1.62,2.2
xUmOO0pT,21/09/2024,09:00,GERMANY - 3. LIGA,Ingolstadt,RW Essen,1.85,3.6,3.6,1.53,2.4,1.5,2.5
t2fFQMFG,21/09/2024,09:00,GERMANY - 3. LIGA,Mannheim,VfL Osnabruck,2.15,3.5,3.0,1.62,2.25,1.53,2.38
txBOiaEF,21/09/2024,09:00,GERMANY - 3. LIGA,SG Dynamo Dresden,Hansa Rostock,1.65,3.8,4.5,1.75,2.05,1.8,1.91
CrvZtr0c,21/09/2024,09:00,GERMANY - 3. LIGA,Wehen,Sandhausen,1.83,3.7,3.7,1.7,2.1,1.62,2.2
C6MLXwNq,21/09/2024,11:30,GERMANY - 3. LIGA,Arminia Bielefeld,Munich 1860,1.83,3.4,4.0,1.85,2.0,1.73,2.0
t6Qm1E1B,21/09/2024,11:00,GREECE - SUPER LEAGUE,Volos,PAOK,8.0,5.25,1.33,1.6,2.3,1.95,1.8
Ew7v5d2n,21/09/2024,14:00,GREECE - SUPER LEAGUE,Aris,Olympiacos Piraeus,5.5,3.8,1.62,1.85,2.0,1.8,1.95
AwQDldZ2,21/09/2024,14:30,GREECE - SUPER LEAGUE,Panetolikos,Asteras Tripolis,2.3,3.1,3.3,2.2,1.65,1.91,1.91
nc8s66nh,21/09/2024,09:00,GREECE - SUPER LEAGUE 2,AEL Larissa,Kavala,1.41,4.1,8.05,1.9,1.8,2.6,1.47
